PostDate,Industry,CountIdIndexed
11-03-2020,Healthcare,0.9744
11-03-2020,Hospitality,0.8545
11-03-2020,Insurance,1.0295
11-03-2020,Manufacturing,1.0503
11-03-2020,Mining,0.9038
11-03-2020,Real Estate,0.9991
11-03-2020,Retail,1.1343
11-03-2020,Services,1.1195
11-03-2020,Transportation,0.9634
11-03-2020,Wholesale,1.0584
12-03-2020,Unknown,1.1043
12-03-2020,Communication,1.3549
12-03-2020,Construction,1.087
12-03-2020,Energy,0.943
12-03-2020,Entertainment,1.0058
12-03-2020,Financial Services,1.0808
12-03-2020,Healthcare,0.9536
12-03-2020,Hospitality,0.8465
12-03-2020,Insurance,0.9893
12-03-2020,Manufacturing,1.0234
12-03-2020,Mining,0.8808
12-03-2020,Real Estate,0.9809
12-03-2020,Retail,1.1079
12-03-2020,Services,1.1082
12-03-2020,Transportation,0.9548
12-03-2020,Wholesale,1.0394
13-03-2020,Unknown,1.0621
13-03-2020,Communication,1.3261
13-03-2020,Construction,1.0532
13-03-2020,Energy,0.9152
13-03-2020,Entertainment,0.9953
13-03-2020,Financial Services,1.0215
13-03-2020,Healthcare,0.952
13-03-2020,Hospitality,0.7951
13-03-2020,Insurance,0.968
13-03-2020,Manufacturing,0.9857
13-03-2020,Mining,0.8479
13-03-2020,Real Estate,0.9612
13-03-2020,Retail,1.078
13-03-2020,Services,1.0661
13-03-2020,Transportation,0.9233
13-03-2020,Wholesale,1.0172
14-03-2020,Unknown,1.0342
14-03-2020,Communication,1.2168
14-03-2020,Construction,1.0096
14-03-2020,Energy,0.8575
14-03-2020,Entertainment,0.9038
14-03-2020,Financial Services,0.9666
14-03-2020,Healthcare,0.9108
14-03-2020,Hospitality,0.7479
14-03-2020,Insurance,0.9354
14-03-2020,Manufacturing,0.9482
14-03-2020,Mining,0.8206
14-03-2020,Real Estate,0.9358
14-03-2020,Retail,0.9721
14-03-2020,Services,1.0144
14-03-2020,Transportation,0.8957
14-03-2020,Wholesale,0.9503
15-03-2020,Unknown,1.0486
15-03-2020,Communication,1.145
15-03-2020,Construction,1.0238
15-03-2020,Energy,0.8555
15-03-2020,Entertainment,0.8961
15-03-2020,Financial Services,0.9571
15-03-2020,Healthcare,0.9024
15-03-2020,Hospitality,0.7256
15-03-2020,Insurance,0.9499
15-03-2020,Manufacturing,0.9507
15-03-2020,Mining,0.8266
15-03-2020,Real Estate,0.9306
15-03-2020,Retail,0.9399
15-03-2020,Services,0.989
15-03-2020,Transportation,0.8657
15-03-2020,Wholesale,0.9382
16-03-2020,Unknown,0.9992
16-03-2020,Communication,1.1347
16-03-2020,Construction,1.001
16-03-2020,Energy,0.8341
16-03-2020,Entertainment,0.8653
16-03-2020,Financial Services,0.9197
16-03-2020,Healthcare,0.8824
16-03-2020,Hospitality,0.6625
16-03-2020,Insurance,0.9123
16-03-2020,Manufacturing,0.8897
16-03-2020,Mining,0.8318
16-03-2020,Real Estate,0.9146
16-03-2020,Retail,0.8904
16-03-2020,Services,0.9532
16-03-2020,Transportation,0.8302
16-03-2020,Wholesale,0.9289
17-03-2020,Unknown,0.9176
17-03-2020,Communication,0.9998
17-03-2020,Construction,0.9779
17-03-2020,Energy,0.8104
17-03-2020,Entertainment,0.8087
17-03-2020,Financial Services,0.8562
17-03-2020,Healthcare,0.832
17-03-2020,Hospitality,0.5419
17-03-2020,Insurance,0.8654
17-03-2020,Manufacturing,0.8256
17-03-2020,Mining,0.7885
17-03-2020,Real Estate,0.8829
17-03-2020,Retail,0.8109
17-03-2020,Services,0.8985
17-03-2020,Transportation,0.7719
17-03-2020,Wholesale,0.8667
18-03-2020,Unknown,0.8579
18-03-2020,Communication,0.9265
18-03-2020,Construction,0.9709
18-03-2020,Energy,0.7625
18-03-2020,Entertainment,0.7978
18-03-2020,Financial Services,0.8036
18-03-2020,Healthcare,0.7949
18-03-2020,Hospitality,0.4896
18-03-2020,Insurance,0.8306
18-03-2020,Manufacturing,0.7717
18-03-2020,Mining,0.7286
18-03-2020,Real Estate,0.8321
18-03-2020,Retail,0.7449
18-03-2020,Services,0.8561
18-03-2020,Transportation,0.7519
18-03-2020,Wholesale,0.8132
19-03-2020,Unknown,0.8032
19-03-2020,Communication,0.8733
19-03-2020,Construction,0.9352
19-03-2020,Energy,0.7456
19-03-2020,Entertainment,0.7507
19-03-2020,Financial Services,0.7862
19-03-2020,Healthcare,0.754
19-03-2020,Hospitality,0.3874
19-03-2020,Insurance,0.801
19-03-2020,Manufacturing,0.7227
19-03-2020,Mining,0.7053
19-03-2020,Real Estate,0.7925
19-03-2020,Retail,0.7063
19-03-2020,Services,0.806
19-03-2020,Transportation,0.7545
19-03-2020,Wholesale,0.7661
20-03-2020,Unknown,0.761
20-03-2020,Communication,0.7763
20-03-2020,Construction,0.9138
20-03-2020,Energy,0.7083
20-03-2020,Entertainment,0.7037
20-03-2020,Financial Services,0.7485
20-03-2020,Healthcare,0.7242
20-03-2020,Hospitality,0.3324
20-03-2020,Insurance,0.7413
20-03-2020,Manufacturing,0.6906
20-03-2020,Mining,0.6402
20-03-2020,Real Estate,0.7609
20-03-2020,Retail,0.6604
20-03-2020,Services,0.7743
20-03-2020,Transportation,0.7279
20-03-2020,Wholesale,0.7225
21-03-2020,Unknown,0.7297
21-03-2020,Communication,0.7549
21-03-2020,Construction,0.8905
21-03-2020,Energy,0.694
21-03-2020,Entertainment,0.6866
21-03-2020,Financial Services,0.7222
21-03-2020,Healthcare,0.7115
21-03-2020,Hospitality,0.304
21-03-2020,Insurance,0.7341
21-03-2020,Manufacturing,0.6579
21-03-2020,Mining,0.6207
21-03-2020,Real Estate,0.7151
21-03-2020,Retail,0.628
21-03-2020,Services,0.746
21-03-2020,Transportation,0.7029
21-03-2020,Wholesale,0.7049
22-03-2020,Unknown,0.6877
22-03-2020,Communication,0.7471
22-03-2020,Construction,0.8901
22-03-2020,Energy,0.6873
22-03-2020,Entertainment,0.6692
22-03-2020,Financial Services,0.7254
22-03-2020,Healthcare,0.7144
22-03-2020,Hospitality,0.2984
22-03-2020,Insurance,0.7216
22-03-2020,Manufacturing,0.6518
22-03-2020,Mining,0.612
22-03-2020,Real Estate,0.7092
22-03-2020,Retail,0.6469
22-03-2020,Services,0.7515
22-03-2020,Transportation,0.7205
22-03-2020,Wholesale,0.7091
23-03-2020,Unknown,0.6663
23-03-2020,Communication,0.6421
23-03-2020,Construction,0.8674
23-03-2020,Energy,0.6706
23-03-2020,Entertainment,0.6363
23-03-2020,Financial Services,0.6983
23-03-2020,Healthcare,0.6916
23-03-2020,Hospitality,0.267
23-03-2020,Insurance,0.6851
23-03-2020,Manufacturing,0.6225
23-03-2020,Mining,0.5566
23-03-2020,Real Estate,0.6666
23-03-2020,Retail,0.633
23-03-2020,Services,0.7285
