PostDate,CountIdIndexed
02-11-2021,1.2314
14-02-2021,1.2259
10-03-2020,1.2255
15-02-2021,1.2233
18-11-2020,1.2229
20-11-2020,1.2223
26-01-2021,1.199
06-03-2021,1.1986
10-02-2020,1.1958
18-01-2021,1.1903
17-11-2020,1.1858
11-07-2020,1.1856
18-10-2020,1.1838
24-11-2020,1.1827
24-08-2020,1.1823
26-10-2020,1.17
17-10-2020,1.1698
22-02-2021,1.1671
18-02-2021,1.167
19-02-2021,1.1658
17-02-2021,1.1643
11-08-2020,1.1639
16-02-2021,1.1634
13-11-2020,1.1601
20-02-2021,1.1601
10-04-2020,1.1593
22-01-2021,1.1588
21-02-2021,1.1577
21-01-2021,1.1501
15-11-2020,1.1458
10-07-2020,1.1428
14-11-2020,1.1427
27-10-2020,1.1423
23-01-2021,1.1416
11-09-2020,1.1394
19-01-2021,1.1354
20-01-2021,1.1353
10-06-2020,1.1342
16-10-2020,1.1336
16-11-2020,1.1314
24-01-2021,1.13
25-08-2020,1.1294
20-08-2020,1.1289
26-08-2020,1.1259
27-08-2020,1.1217
11-06-2020,1.1207
10-05-2020,1.1206
25-01-2021,1.1198
28-10-2020,1.1148
25-11-2020,1.1142
10-08-2020,1.113
11-05-2020,1.1095
11-03-2020,1.1074
11-02-2020,1.106
11-10-2020,1.1051
11-11-2020,1.1043
11-04-2020,1.1038
23-08-2020,1.101
11-12-2020,1.0993
03-10-2020,1.0979
29-06-2021,1.0972
10-01-2020,1.0962
03-07-2020,1.0957
10-09-2020,1.0956
11-01-2020,1.095
03-09-2020,1.0949
29-10-2020,1.0936
03-11-2020,1.0912
03-08-2020,1.083
18-08-2020,1.082
30-10-2020,1.0819
10-11-2020,1.0813
10-10-2020,1.08
10-12-2020,1.079
03-12-2020,1.0747
29-08-2020,1.0742
28-08-2020,1.0736
13-10-2020,1.0733
22-08-2020,1.0732
30-08-2020,1.072
03-06-2020,1.0716
15-10-2020,1.0626
31-10-2020,1.0616
19-08-2020,1.0607
14-10-2020,1.0598
03-05-2020,1.0582
18-09-2020,1.0481
03-04-2020,1.0461
20-09-2020,1.043
19-09-2020,1.0401
13-03-2020,1.0386
21-09-2020,1.0368
09-06-2020,1.0343
16-09-2020,1.0331
15-09-2020,1.0329
09-05-2020,1.0307
17-09-2020,1.0267
09-04-2020,1.0229
03-03-2020,1.0223
14-08-2020,1.0148
03-02-2020,1.01
09-03-2020,1.0099
09-02-2020,1.0032
03-01-2020,1
09-01-2020,0.9984
14-03-2020,0.9944
15-03-2020,0.9915
26-11-2020,0.9912
17-08-2020,0.9902
09-07-2020,0.988
21-08-2020,0.9809
12-05-2020,0.9809
31-08-2020,0.9709
07-11-2021,0.9656
30-09-2020,0.9646
12-07-2020,0.9584
14-09-2020,0.9565
22-09-2020,0.9537
16-03-2020,0.9498
12-06-2020,0.9481
12-08-2020,0.9375
12-04-2020,0.9257
15-08-2020,0.9232
08-07-2020,0.9159
06-09-2020,0.9137
08-08-2020,0.9058
12-09-2020,0.9035
30-06-2021,0.9019
12-10-2020,0.8993
16-08-2020,0.8991
08-09-2020,0.897
08-06-2020,0.8934
13-09-2020,0.8932
09-08-2020,0.8902
09-12-2020,0.8893
09-11-2020,0.8861
12-11-2020,0.8851
09-10-2020,0.885
08-05-2020,0.8839
09-09-2020,0.8833
08-04-2020,0.8822
17-03-2020,0.8803
08-03-2020,0.875
08-02-2020,0.8738
16-07-2020,0.8703
07-02-2020,0.8701
12-12-2020,0.8676
08-12-2020,0.8654
08-01-2020,0.8632
