PostDate,State,CountIDIndexed
04-03-2020,LA,1.1935
04-03-2020,Ly,0
04-03-2020,MA,1.032
04-03-2020,MD,1.0367
04-03-2020,ME,1.1045
04-03-2020,MI,1.0506
04-03-2020,MN,1.0691
04-03-2020,MO,1.0063
04-03-2020,MP,0
04-03-2020,MS,1.1259
04-03-2020,MT,1.0625
04-03-2020,NC,1.039
04-03-2020,ND,1.0925
04-03-2020,NE,1.0558
04-03-2020,NH,1.0976
04-03-2020,NJ,1.0377
04-03-2020,NM,1.1234
04-03-2020,NV,1.0853
04-03-2020,NY,1.0334
04-03-2020,OH,1.0528
04-03-2020,OK,1.0466
04-03-2020,OR,1.0378
04-03-2020,PA,1.0319
04-03-2020,Pi,1.0426
04-03-2020,PR,0.9518
04-03-2020,RI,1.1045
04-03-2020,SC,1.0297
04-03-2020,SD,1.0921
04-03-2020,Sh,1.2739
04-03-2020,So,0
04-03-2020,St,0.9684
04-03-2020,TN,1.0186
04-03-2020,TX,1.0356
04-03-2020,Un,1.0688
04-03-2020,UT,1.0515
04-03-2020,VA,1.0441
04-03-2020,VI,0.7652
04-03-2020,VT,1.1345
04-03-2020,WA,0.9899
04-03-2020,WI,1.056
04-03-2020,WV,1.1442
04-03-2020,WY,1.0983
05-03-2020,AK,1.0358
05-03-2020,AL,1.0865
05-03-2020,AR,1.1245
05-03-2020,AS,0
05-03-2020,AZ,1.0408
05-03-2020,CA,1.0467
05-03-2020,CO,1.0656
05-03-2020,CT,1.1659
05-03-2020,DC,1.0178
05-03-2020,DE,1.1288
05-03-2020,FL,1.0574
05-03-2020,GA,1.043
05-03-2020,GU,0
05-03-2020,HI,1.1977
05-03-2020,IA,1.0926
05-03-2020,ID,1.0862
05-03-2020,IL,1.1048
05-03-2020,IN,1.0668
05-03-2020,KS,1.0742
05-03-2020,KY,1.0875
05-03-2020,LA,1.2077
05-03-2020,Ly,0
05-03-2020,MA,1.0424
05-03-2020,MD,1.0446
05-03-2020,ME,1.0949
05-03-2020,MI,1.0722
05-03-2020,MN,1.0781
05-03-2020,MO,1.0235
05-03-2020,MP,0
05-03-2020,MS,1.1302
05-03-2020,MT,1.0949
05-03-2020,NC,1.0496
05-03-2020,ND,1.1104
05-03-2020,NE,1.0789
05-03-2020,NH,1.1105
05-03-2020,NJ,1.0346
05-03-2020,NM,1.1499
05-03-2020,NV,1.0902
05-03-2020,NY,1.0345
05-03-2020,OH,1.0693
05-03-2020,OK,1.0555
05-03-2020,OR,1.0636
05-03-2020,PA,1.0485
05-03-2020,Pi,1.0426
05-03-2020,PR,0.9794
05-03-2020,RI,1.1181
05-03-2020,SC,1.047
05-03-2020,SD,1.086
05-03-2020,Sh,1.3822
05-03-2020,So,0
05-03-2020,St,0.9684
05-03-2020,TN,1.0203
05-03-2020,TX,1.0457
05-03-2020,Un,1
05-03-2020,UT,1.0534
05-03-2020,VA,1.0574
05-03-2020,VI,0.7414
05-03-2020,VT,1.1357
05-03-2020,WA,0.997
05-03-2020,WI,1.07
05-03-2020,WV,1.1756
05-03-2020,WY,1.1052
06-03-2020,AK,1.0463
06-03-2020,AL,1.0861
06-03-2020,AR,1.142
06-03-2020,AS,0
06-03-2020,AZ,1.0505
06-03-2020,CA,1.0623
06-03-2020,CO,1.091
06-03-2020,CT,1.2026
06-03-2020,DC,1.0017
06-03-2020,DE,1.1587
06-03-2020,FL,1.0645
06-03-2020,GA,1.0413
06-03-2020,GU,0
06-03-2020,HI,1.2427
06-03-2020,IA,1.1154
06-03-2020,ID,1.0995
06-03-2020,IL,1.1222
06-03-2020,IN,1.0797
06-03-2020,KS,1.0873
06-03-2020,KY,1.0876
06-03-2020,LA,1.2201
06-03-2020,Ly,0
06-03-2020,MA,1.065
06-03-2020,MD,1.0733
06-03-2020,ME,1.1714
06-03-2020,MI,1.0851
06-03-2020,MN,1.0889
06-03-2020,MO,1.0306
06-03-2020,MP,0
06-03-2020,MS,1.1257
06-03-2020,MT,1.1131
06-03-2020,NC,1.0662
06-03-2020,ND,1.1121
06-03-2020,NE,1.0955
06-03-2020,NH,1.1524
06-03-2020,NJ,1.0582
06-03-2020,NM,1.0362
06-03-2020,NV,1.0607
06-03-2020,NY,1.0645
06-03-2020,OH,1.0951
06-03-2020,OK,1.0627
06-03-2020,ON,0
06-03-2020,OR,1.0855
06-03-2020,PA,1.0707
06-03-2020,Pi,1.1277
06-03-2020,PR,1.0249
06-03-2020,RI,1.1492
06-03-2020,SC,1.0638
06-03-2020,SD,1.1267
06-03-2020,So,0
06-03-2020,St,0.5169
06-03-2020,TN,1.0313
06-03-2020,TX,1.048
06-03-2020,Un,0.9819
06-03-2020,UT,1.0515
06-03-2020,VA,1.0719
06-03-2020,VI,0.6829
06-03-2020,VT,1.2156
06-03-2020,WA,0.9946
06-03-2020,WI,1.0975
06-03-2020,WV,1.2108
06-03-2020,WY,1.1534
07-03-2020,AK,1.0638
07-03-2020,AL,1.1215
07-03-2020,AR,1.182
07-03-2020,AZ,1.0592
07-03-2020,CA,1.0734
07-03-2020,CO,1.0969
07-03-2020,CT,1.2307
07-03-2020,DC,1.0171
07-03-2020,DE,1.2503
07-03-2020,FL,1.0836
07-03-2020,GA,1.0616
07-03-2020,GU,0
07-03-2020,HI,1.3089
07-03-2020,IA,1.1335
07-03-2020,ID,1.1398
07-03-2020,IL,1.1447
07-03-2020,IN,1.097
07-03-2020,KS,1.1406
07-03-2020,KY,1.1148
07-03-2020,LA,1.2483
07-03-2020,Ly,0
